pub,title,official_publication_pdf,msc_functional_area
AFI 41-102,MEDICAL EXPENSE AND PERFORMANCE REPORTING SYSTEM (MEPRS) FOR FIXED MILITARY MEDICAL AND DENTAL TREATMENT FACILITIES,https://static.e-publishing.af.mil/production/1/af_sg/publication/afi41-102/afi41-102.pdf,RMO
AFI 41-105,MEDICAL TRAINING PROGRAMS,https://static.e-publishing.af.mil/production/1/af_sg/publication/afi41-105/afi41-105.pdf,Readiness
AFI 41-106,MEDICAL READINESS PROGRAM,https://static.e-publishing.af.mil/production/1/af_sg/publication/afi41-106/dafi41-106.pdf,Readiness
AFI 41-109,SPECIAL AND INCENTIVE PAY FOR HEALTH PROFESSIONS OFFICERS,https://static.e-publishing.af.mil/production/1/af_sg/publication/afi41-109/afi41-109.pdf,RMO
AFI 41-117,MEDICAL SERVICE OFFICER EDUCATION,https://static.e-publishing.af.mil/production/1/af_sg/publication/afi41-117/afi41-117.pdf,Readiness
DAFI 41-230,MEDICAL LOGISTICS SUPPORT,https://static.e-publishing.af.mil/production/1/af_sg/publication/dafi41-230/dafi41-230.pdf,MedLog
AFMAN 41-108,TRAINING AFFILIATION AGREEMENT PROGRAM,https://static.e-publishing.af.mil/production/1/af_sg/publication/afman41-108/afman41-108.pdf,Readiness
DAFMAN 41-210,PATIENT ADMINISTRATION SUPPORT,https://static.e-publishing.af.mil/production/1/af_sg/publication/dafman41-210/dafman41-210.pdf,TOPA
DAFI 36-2903,DRESS AND PERSONAL APPEARANCE OF DEPARTMENT OF THE AIR FORCE PERSONNEL,https://static.e-publishing.af.mil/production/1/af_a1/publication/dafi36-2903/dafi36-2903.pdf,Leadership
JTR,THE JOINT TRAVEL REGULATIONS,https://media.defense.gov/2022/Jan/04/2002917147/-1/-1/0/JTR.PDF,RMO
DAFMAN 36-2905,DEPARTMENT OF THE AIR FORCE PHYSICAL FITNESS PROGRAM,https://static.e-publishing.af.mil/production/1/af_a1/publication/dafman36-2905/dafman36-2905.pdf,Leadership
DAFI 10-2501,EMERGENCY MANAGEMENT PROGRAM,https://static.e-publishing.af.mil/production/1/af_a4/publication/dafi10-2501/dafi10-2501.pdf,Readiness
AFI 44-102,MEDICAL CARE MANAGEMENT,https://static.e-publishing.af.mil/production/1/af_sg/publication/afi44-102/afi44-102.pdf,GPM
AFI 1-1,AIR FORCE STANDARDS,https://static.e-publishing.af.mil/production/1/af_cc/publication/afi1-1/afi1-1.pdf,Leadership
AFI 44-119,MEDICAL QUALITY MANAGEMENT,https://static.e-publishing.af.mil/production/1/af_sg/publication/afi44-119/afi44-119.pdf,Quality
DHA-PI 6025.20,MEDICAL MANAGEMENT,https://health.mil/-/media/Files/MHS/Policy-Files/SIGNED--DHAPI-602520--Medical-Management.ashx,GPM
AFI 38-101,MANPOWER AND ORGANIZATION,https://static.e-publishing.af.mil/production/1/af_a1/publication/dafi38-101/dafi38-101.pdf,RMO
